Station Dauphin Island Hydrographic Data from jday 01 to 365
Metadata
Year: Year
Julian Day: Julian Day
Time: 24 hour clock Central Standard Time
Water Temperature: Water temperature measured in degrees celsius
Salinity: Salinity measured in psu
Dissolved Oxygen Percent: Dissolved oxygen measured in percent
Dissolved Oxygen mg/L: Dissolved oxygen measured in mg/L
Turbidity: Turbidity measured in FNU (availble for Bon Secour|Dauphin Island|Cedar Point)
Aggregate quality flag
0 or blank= quality not evaluated
1 = bad
2 = questionable/suspect
3 = good
 -9 = null value
stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,turbidity1_avg,comments,
628,2022,3,1130,17.1100006,3,22.1599998,13.3900003,3,98.3000031,3,8.75,3,1.75399995,3,25.3600006,,
628,2022,3,1200,17.1599998,3,21.6100006,13.0299997,3,99,3,8.81000042,3,1.76900005,3,21.1800003,,
628,2022,3,1230,16.8899994,3,26.2000008,16.0799999,3,96.3000031,3,8.46000004,3,1.76999998,3,15.75,,
628,2022,3,1300,16.5,3,28.3999996,17.5599995,3,95.5999985,3,8.39000034,3,1.77600002,3,34.2200012,,
628,2022,3,1330,16.3500004,3,29.4300003,18.2600002,3,95.5999985,3,8.38000011,3,1.79400003,3,19.0900002,,
628,2022,3,1400,16.5799999,3,28.8199997,17.8400002,3,95.6999969,3,8.36999989,3,1.79900002,3,25.1200008,,
628,2022,3,1430,16.5799999,3,29.5400009,18.3299999,3,96.1999969,3,8.39000034,3,1.82500005,3,30.3199997,,
628,2022,3,1500,16.2800007,3,30.3299999,18.8700008,3,95.5999985,3,8.35999966,3,1.89400005,3,70,,
628,2022,3,1530,16.0699997,3,32.9900017,20.6900005,3,101.199997,3,8.80000019,3,1.93099999,3,66.8199997,,
628,2022,3,1600,15.9200001,3,34.3100014,21.6000004,3,102.699997,3,8.90999985,3,1.95200002,3,73.3300018,,
628,2022,3,1630,16.2099991,3,33.7900009,21.2399998,3,101.099998,3,8.72999954,3,1.99800003,3,110.300003,,
628,2022,3,1700,16.2999992,3,35.5499992,22.4599991,3,99.9000015,3,8.55000019,3,2.04200006,3,224.300003,,
628,2022,3,1730,17.0200005,3,38.4199982,24.4799995,3,95.8000031,3,7.98000002,3,2.09599996,3,85.5999985,,
628,2022,3,1800,16.5799999,3,38.1599998,24.2900009,3,96.5,3,8.11999989,3,2.12899995,3,62.0299988,,
628,2022,3,1830,17.2800007,3,40.2900009,25.7999992,3,92.8000031,3,7.63000011,3,2.171,3,91.5,,
628,2022,3,1900,17.1599998,3,41.7099991,26.8099995,3,92.5,3,7.59000015,3,2.20700002,3,355.899994,,
628,2022,3,1930,17.1299992,3,42.2400017,27.1800003,3,91.9000015,3,7.51999998,3,2.2249999,3,138.5,,
628,2022,3,2000,17.5300007,3,42.6100006,27.4500008,3,90,3,7.30000019,3,2.25900006,3,87.6999969,,
628,2022,3,2030,16.6700001,3,40.7599983,26.1299992,3,94.1999969,3,7.82999992,3,2.28200006,3,39.0299988,,
628,2022,3,2100,15.46,3,34.7299995,21.8899994,3,96.9000015,3,8.46000004,3,2.31200004,3,15.0600004,,
628,2022,3,2130,15.3800001,3,35.0699997,22.1200008,3,97.5,3,8.52000046,3,2.30200005,3,14.1700001,,
628,2022,3,2200,14.4700003,3,32.4500008,20.3099995,3,100.699997,3,9.06999969,3,2.32800007,3,10.0299997,,
628,2022,3,2230,14.3699999,3,32.1899986,20.1299992,3,100.599998,3,9.07999992,3,2.329,3,9.59000015,,
628,2022,3,2300,14.3699999,3,32.3800011,20.2600002,3,100,3,9.02999973,3,2.30900002,3,14.6499996,,
628,2022,3,2330,14.2799997,3,31.7800007,19.8400002,3,99.0999985,3,8.97999954,3,2.31699991,3,10.2600002,,
628,2022,3,2400,14.2600002,3,31.9200001,19.9400005,3,99.0999985,3,8.97999954,3,2.29999995,3,11.1000004,,
628,2022,4,30,14.2299995,3,31.7700005,19.8400002,3,98.5,3,8.93999958,3,2.26200008,3,9.77000046,,
628,2022,4,100,13.8100004,3,26.4799995,16.25,3,98,3,9.17000008,3,2.26200008,3,11.3400002,,
628,2022,4,130,14.0600004,3,30.8700008,19.2199993,3,97.5999985,3,8.92000008,3,2.22199988,3,9.40999985,,
628,2022,4,200,13.8999996,3,27.1200008,16.6800003,3,96.9000015,3,9.02999973,3,2.20000005,3,9.17000008,,
628,2022,4,230,13.8299999,3,24.8999996,15.1999998,3,96.3000031,3,9.06999969,3,2.18099999,3,9.39000034,,
628,2022,4,300,13.9399996,3,25.8999996,15.8599997,3,95.5,3,8.93000031,3,2.12899995,3,10.1499996,,
628,2022,4,330,13.9200001,3,23.2099991,14.0699997,3,95,3,8.98999977,3,2.09699988,3,8.81000042,,
628,2022,4,400,14.1599998,3,25.1800003,15.3800001,3,95.1999969,3,8.89999962,3,2.05599999,3,8.06000042,,
628,2022,4,430,14.2799997,3,25.1399994,15.3500004,3,94.4000015,3,8.78999996,3,2.00500011,3,10.1300001,,
628,2022,4,500,14.4499998,3,25.8899994,15.8599997,3,94.0999985,3,8.71000004,3,1.96200001,3,10.6999998,,
628,2022,4,530,14.6499996,3,26.2299995,16.0900002,3,94.1999969,3,8.67000008,3,1.92200005,3,11.46,,
628,2022,4,600,14.5600004,3,25.4099998,15.54,3,93.5,3,8.64999962,3,1.89100003,3,11.25,,
628,2022,4,630,14.5200005,3,25.2999992,15.46,3,92.1999969,3,8.53999996,3,1.86000001,3,14.4099998,,
628,2022,4,700,14.6999998,3,26.5100002,16.2800007,3,92.1999969,3,8.47000027,3,1.83000004,3,11.3000002,,
628,2022,4,730,14.5900002,3,26.8899994,16.5300007,3,92,3,8.44999981,3,1.82299995,3,10.5699997,,
628,2022,4,800,14.46,3,26.5300007,16.2800007,3,92.6999969,3,8.56000042,3,1.78299999,3,9.61999989,,
628,2022,4,830,14.6400003,3,26.2800007,16.1200008,3,94.1999969,3,8.67000008,3,1.76699996,3,8.47000027,,
628,2022,4,900,14.7799997,3,26.2000008,16.0699997,3,95.3000031,3,8.75,3,1.73500001,3,7.69999981,,
